0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Watched him start helping and touching food with his gloved,I said something to the order taker that I didn't want him touching my food if he is taking money too,but a second person on the prep line started to argue with me and said he was fine and not touching food,but I just couldn't bring myself to eat the food now,,,,,,,,,,,,,,,,
by explaining it was half a pound of food,,,,,,,,,,,,,,,,,,,
hot yummy food,,,,,,,,,,,,,,,,,,,
great food ,Terrific location for getting your crunchy taco on,,,,,,,,,,,,,,,,,,
visiting this one is ordered about $14  worth of food one of which consisted of a drink,I get my food ,,,,,,,,,,,,,,,,,,
Workers are really nice and food is perfectly fine,,,,,,,,,,,,,,,,,,,
 Delish bean burrito ,,,,,,,,,,,,,,,,,,,
"the slow service at supposedly ""fast"" food is a Boulder County-wide issue",After a couple minutes I got my 3 crunchy tacos ,,,,,,,,,,,,,,,,,,
Place was as clean as any other quality Taco Bell,,,,,,,,,,,,,,,,,,,
My food on the other,chips all over the tables ,,,,,,,,,,,,,,,,,,
30 minutes to get two soft tacos,,,,,,,,,,,,,,,,,,,
2 or three people have come back with problems with their food,I even saw some people that knew the coworkers get food before everyone else,,,,,,,,,,,,,,,,,,
Very slow service and the food is bad,,,,,,,,,,,,,,,,,,,
The food is always hot,For a fast food joint or a cheap taco craving,,,,,,,,,,,,,,,,,,
Not a care in the world and literally TOSSED my food ,my drink was incorrect and I didn't get my taco sauce I'm sorry,but who eats a taco without sauce ,,,,,,,,,,,,,,,,,
   Wait in line 15 minutes at the drive thru for 4 soft tacos ,,,,,,,,,,,,,,,,,,,
I would also like to thank the people who work at t bell headquarters for creating the chicken quesadilla,,,,,,,,,,,,,,,,,,,
This is based off of the sauce to food items ratio alone,,,,,,,,,,,,,,,,,,,
Taco Bell taste so good,,,,,,,,,,,,,,,,,,,
Almost an hour to get a couple average tacos is unacceptable,and all I got was a couple eyerolls as the kitchen staff begrudgingly threw some meat in a shell,,,,,,,,,,,,,,,,,,
If I could give no stars I would got a taco salad which is usually  pretty,alright and the taco shell had mild type,,,,,,,,,,,,,,,,,,
Low quality ingredients and the furthest thing from Mexican food,,,,,,,,,,,,,,,,,,,
I wish it didnt consistently take forever to get food,Sad face because i really want to give them money for some delicious tacos,,,,,,,,,,,,,,,,,,
The food was delicious,,,,,,,,,,,,,,,,,,,
The food was hot, and delicious,,,,,,,,,,,,,,,,,,
I expect to be contacted by the owner of this franchise because I will not tolerate being treated as an inconvenience to a food establishment,,,,,,,,,,,,,,,,,,,
Simple order: 1 chicken quesadilla,uncooked) cheese quesadilla,"Just unmelted ""cheese",,,,,,,,,,,,,,,,,
The service and the food don't really st,,,,,,,,,,,,,,,,,,,
The food is really good,,,,,,,,,,,,,,,,,,,
I pay for my food ,I do not recommend this Taco Bell unless you enjoy poor service and dismal quality food,,,,,,,,,,,,,,,,,,
I ordered the Doritos Loco Tacos combo and a chicken soft taco, The Loco tacos were lighter than normal,though the chicken was what was expected, on the meat,The amount of cheese was average, The lettuce (which they filled mostly with) wasn't fresh, Removing some of the lettuce (because of color),the taste was that as expected,,,,,,,,,,,,
and tastes almost sour,,,,,,,,,,,,,,,,,,,
 Let's move on to the Dorito taco, The chicken quesadilla also never ceases to amaze me with it's cheesy,meaty goodness of the crunch wrap supreme however uncrunchy,,,,,,,,,,,,,,,,,
 They mess up the food every single,you'll probably get your food faster ,,,,,,,,,,,,,,,,,,
Great food,,,,,,,,,,,,,,,,,,,
And is this how you're making tacos now,5 hours to wrap up some preheated meats in a tortilla,no meat,all lettuce and a pinch of cheese,,,,,,,,,,,,,,,,
I've worked food service,,,,,,,,,,,,,,,,,,,
I am a manager for applebees and we get well done steaks out in 15 minutes,,,,,,,,,,,,,,,,,,,
She was snotty and rude and argued when I asked about the black beans,get some damn black beans,,,,,,,,,,,,,,,,,,
and received excellent service and above average food (as compared to a st,,,,,,,,,,,,,,,,,,,
Always tasty food ,,,,,,,,,,,,,,,,,,,
I've only used the drive-thru around lunch time and have never had to wait too long to get my food,,,,,,,,,,,,,,,,,,,
Food tasted really good,,,,,,,,,,,,,,,,,,,
The service and good food are incredible,,,,,,,,,,,,,,,,,,,
plus I asked for hot sauce and got fire then bean and cheese burrito with no onion ,,,,,,,,,,,,,,,,,,,
This place is a joke the service takes unbelievably long and  also forgets are food order,,,,,,,,,,,,,,,,,,,
Service was great and the food was perfect,,,,,,,,,,,,,,,,,,,
All three fresco tacos came with less than half filled with meat,Our cruchwraps were broken and folded into the bag like a taco cause all the inside, ingredients to go everywhere,,,,,,,,,,,,,,,,,
People and food consistently good,,,,,,,,,,,,,,,,,,,
People want $15 an hour and can't even take the time to serve food correctly,,,,,,,,,,,,,,,,,,,
The food was hot,,,,,,,,,,,,,,,,,,,
The food came out before i could even turn the corner,,,,,,,,,,,,,,,,,,,
I ordered a custom item and they got the no cheese part right but gave me a completely different taco not even the same, They gave a me a hybrid chalupa w ground beef when I ordered a grilled steak soft taco,meat that I ordered,,,,,,,,,,,,,,,,,
their enchiritos and crunchy tacos are still above board,,,,,,,,,,,,,,,,,,,
What I got: Everything with ONLY meat ,just one item without cheese,and cheese,It tasted worse than hot,,,,,,,,,,,,,,,,
food came out 20 mins later ,,,,,,,,,,,,,,,,,,,
The quality of food ,I pulled more lettuce heart out of one taco than I've ever seen,and higher priced just because it's sw,So why are all the menu prices higher than any other,Horrible quality, location if the quality is much,,,,,,,,,,,,,,
  I Always get the best service here the food is Always fresh,,,,,,,,,,,,,,,,,,,
I believe I was served a healthy portion of food poison, Only two of us ate items with refried beans , The other two individuals not eating refried beans never experienced the love of the porcelain throne,,,,,,,,,,,,,,,,,
Don't even have my food yet,I don't understand how hat it is to put taco meat inside an already made taco shell,,,,,,,,,,,,,,,,,,
whatever fuck them and fuck this tacobell,They tasted ,That shit tasted like poison,,,,,,,,,,,,,,,,,
Only one car I front of me and I waited over 10 minutes for my food,,,,,,,,,,,,,,,,,,,
Been 25 mins since I ordered food ,,,,,,,,,,,,,,,,,,,
We waited over an hour for our food in a never-ending,,,,,,,,,,,,,,,,,,,
Went to pick up my food that already has a pending charge in my bank account,can't get my food,,,,,,,,,,,,,,,,,,
those cinnamon balls of fried creamcheesey goodness,,,,,,,,,,,,,,,,,,,
Don't give people bad food,even cheeses are NOT MELT,,,,,,,,,,,,,,,,,,
We waited almost 30 minutes to get our food,we had missing items and food that wasn't how we ordered them,,,,,,,,,,,,,,,,,,
you have to order your food on the kiosk because theres no one at the cash register to take your order,my food took so long to come out,,,,,,,,,,,,,,,,,,
Stopped here for a spontaneous meal of five regular crunchy tacos,,,,,,,,,,,,,,,,,,,
Good Mexican food is hard,The homemade salsa was served in a convenient little packet in which you tear off a corner and squeeze onto your food,I settled on a Doritos Locos taco with  ground beef,The taco was delicious,My taco came with julienned,Like the taco itself,The accompanying vegetables were every bit as fresh and tasty as those that were served with my taco,and a pair of steak Chalupas,It came with thick strips of marinated premium-quality steak - if I had to guess,a dollop of sour cream, strips of iceberg lettuce,and I'd been meaning to try this cozy little adobe restaurant on the corner for years,with a unique blend of orange-tinted spices and herbs that tasted vaguely familiar,,,,,,,
Even though Taco Bell is a shitty food environment,Shitty service goes with your shitty food,,,,,,,,,,,,,,,,,,
I passed out the food,48 minutes to the food replaced,They cleared that board before fixing my food,I took them along with the bean burrito I ordered for myself back up there,Its a good thing I asked for a fresh burrito too,Part of the order was 2 steak soft tacos with NO sauce,,,,,,,,,,,,,,
The quality of the food coming out of this location seems to vary almost by the minute,I order a Mexican pizza no refried beans,When I got home I had refried beans on the pizza,I am allergic to guacamole so I always request my items without is it comes st,8 out of 10 times I have had guacamole on my order,,,,,,,,,,,,,,,
I get a NO CHEESE with EXTRA beans,For example when I want a 5 layer with NO BEANS and extra nacho cheese,,,,,,,,,,,,,,,,,,
Waited 20+ minutes for two food items while people argued in the parking lot,,,,,,,,,,,,,,,,,,,
No food for any of us,,,,,,,,,,,,,,,,,,,
Make sure you double check your food before leaving the parking lot,they shorted me a taco supreme,,,,,,,,,,,,,,,,,,
Ordered a #2 and 2 casadillas and a fritos burrito ,and they gave me 1 taco for my number 2 ,,,,,,,,,,,,,,,,,,
a guilty indulgence to someone who prides himself as a foodie ,,,,,,,,,,,,,,,,,,,
So I ordered a Mexican pizza with chicken she said it wouldn't be a problem,When I got home the Mexican pizza looked terrible there was no sauce or tomatoes on it and the chicken wasn't in it,,,,,,,,,,,,,,,,,,
and it takes forever to get my food,When I noticed my burrito was missing ,I got my burrito ,nobody in front of me as around the corner,,,,,,,,,,,,,,,,
 The lack of stars are not for mediocre food, I come here BECAUSE of the mediocre food,They will offer you 6 handfuls of saucy packs but forget 1/2 the damn food you ordered to put those cute,,,,,,,,,,,,,,,,,
The food we provided was good,He was really warm when I was eating it and very tasty and up to Taco Bell food st,,,,,,,,,,,,,,,,,,
He's likely got super powers to put sour cream on every taco and burrito within 30 miles,I fucking hate sour cream,Why do they put sour cream on EVERYTHING even though every time I tell them NO sour,Why in the FUCK is there sour cream,My husband and I have resorted to stressing no sour cream on these items,This Tacobell location is spot on in terms of consistent quality ,,,,,,,,,,,,,,
Never enough meat on anything honestly,,,,,,,,,,,,,,,,,,,
I kind of knew it wasn't because I hadn't asked for sauce yet but I took his word for it because I could tell he was annoyed by me asking and then I got home to see there was no sauce at all and they gave me rice burritos ,,,,,,,,,,,,,,,,,,,
Fast (keyword Fast) food people,Taking in the quality of the place,,,,,,,,,,,,,,,,,,
The service received was great and the food was very satisfying,,,,,,,,,,,,,,,,,,,
 The chalupa is composed of a deep fried chicken patty that has been shaped into a taco shell,it's a bit pricey for Taco Bell, It is filled with cheese,lettuce,,,,,,,,,,,,,,,,
 he hands me my food , I tried to order more food then so he could charge my card , I ordered nachos and a shredded chicken burrito ,so you got an order of chips and cheese and a shredded chicken burrito, he I let him know again I ordered nachos with beef and a shredded chicken burrito with a soda,he replies again so then chips and cheese and a shredded chicken burrito, I got a nacho with beef then added a drink and shredded chicken burrito,after some time we finally figured out that what I wanted was called a nacho supreme + shredded chicken , he then says oh so cheese and chips with a soda, the woman on the speaker asked me what kind of meat I wanted on my nachos,,,,,,,,,,
the bathroom and dining areas are always clean and the food is 100% taco bell yum yum,,,,,,,,,,,,,,,,,,,
However today I tried to order a beefy frito burrito ,and replaced the beef with beans ,Don't go here if you don't eat meat,It left a bad taste in my mouth about the whole,,,,,,,,,,,,,,,,
Connor was very welcoming and nice and the food is better than any location I've been to :-,,,,,,,,,,,,,,,,,,,
got the orders out quick with three cars in line and everything tasted,,,,,,,,,,,,,,,,,,,
The food was pretty good,,,,,,,,,,,,,,,,,,,
 I ordered a burrito which they forgot to bag, **CONS:  tonight they were out of taco salad shells ,and guacamole,,,,,,,,,,,,,,,,,
maybe it took someone ten minutes to get their food,I called it quits the last time I was here and it took me an hour to get my food,They also don't make the food in order,No food for you,You're going to have to annoy them at the counter to even get them to start on your food,For a few burritos ,and tacos,,,,,,,,,,,,,
we talked about the taco Bell catina ,I asked her name before she left because I wanted to write this review and let her and you at taco Bell know that she is definitely an asset to your company ,,,,,,,,,,,,,,,,,,
she wanted  a grilled seven layer burrito, What we got was little more than a bean burrito,They assured me that it was a seven layer burrito,It was a thousand miles from being a seven layer burrito,they were out of the new double crunch taco,taco shells,No rice,Again no rice,a pinch of pico and beans,All it was was some beans,All my gal could taste was some beans ,Taco meat,and a  small dollup of guacamole,Hold the cheese,sour cream,It had lettuce,lettuce,and lettuce,was dollar menu thin and virtually tasteless,
Got home and the adults food was in the bag ,It was late and had to grab the kids a burrito ,and a taco,,,,,,,,,,,,,,,,,
 If you want your food made just the way you don't like it,,,,,,,,,,,,,,,,,,,
I ordered the Variety Taco Party Pack or whatever it is called and when I got home I found out that I actually just got  a bunch of regual tacos,Then after further investigation over half of my tacos were smashed ,,,,,,,,,,,,,,,,,,
the staff always have attitudes and the food is cold,I've had several times where I'm in drive thru and getting my food ,When she handed me my food,my food was cold,,,,,,,,,,,,,,,,
this is the second time I've had a bone such as this in my damn burrito,,,,,,,,,,,,,,,,,,,
Not only was there almost no beans in it,but he asked for guacamole with it,He got charged for it only for them to not put any guacamole in it,it was basically like 90% tortilla and lettuce,,,,,,,,,,,,,,,,
everything was cooked to order and tasted great,,,,,,,,,,,,,,,,,,,
I've ordered from big chain restaurants and had chefs finish my order and in the bag waiting for me in less time than it takes to get my food here,,,,,,,,,,,,,,,,,,,
we swung by and the little girl at this place said they weren't serving food,,,,,,,,,,,,,,,,,,,
time and time again should mean that a better quality staff needs to be hired,,,,,,,,,,,,,,,,,,,
grilled cheese burrito,all had little to no meat in there,,,,,,,,,,,,,,,,,,
my dad and a little girl complaining about their food to these people meanwhile the cooks are basically telling them/us tuff luck plus the first,guy still waiting on his food,"The next thing you know this little girl is going up to the cashier and saying ""there's something crunchy in my burrito I think there's onions"" ","and then the lady who didn't even make it straight up told the girl ""no honey I didn't put onions in your burrito"" ","peaks over the counter and says ""excuse me theres onions on my burrito""  even though this was a bad",Then my dad was talking about how he didn't really care for his nachos because the beans were burnt and then half way through realized the chicken he ordered wasn't on there,There was soo much poor quality about this experience in such,,,,,,,,,,,,,
I'm tempted to report them because who knows what else they aren't doing that could end up causing food poisoning etc,,,,,,,,,,,,,,,,,,,
It's the closest food to my work so sometimes I have no choice ,,,,,,,,,,,,,,,,,,,
Thirty mins for 3 tacos,,,,,,,,,,,,,,,,,,,
Not only did he make my food quick ,,,,,,,,,,,,,,,,,,,
On this visit ground beef was so watery it soaked through any type of soft shell or hard taco shells,,,,,,,,,,,,,,,,,,,
When I pulled up to the window the employee asked me to pay for food I didn't order because I couldn't order,,,,,,,,,,,,,,,,,,,
Terrible attention to ordering kept giving me beef crunch wrap supreme when I kept coming back and ordered chicken,,,,,,,,,,,,,,,,,,,
"Taco Bell is the only ""fast"" food I will eat",Waited another ten for the food,This is a very convenient location right on Barbur that is on my drive home but if I'm ever working late and need some food,opened my potato taco to put some sauce ,And I had two more potato tacos the same,and half filled tacos are not my thing,,,,,,,,,,,,,,
Food tasted freshly made,,,,,,,,,,,,,,,,,,,
Horrible food,You risk getting food poisoning or cold,stale 2 day old food,Always cold food ,,,,,,,,,,,,,,,,
These guys couldn't even get 1 crunchy taco right,10 minutes while I stared at my made single taco sitting on the counter waiting to be h,The guy finally hands it to me and it had sour cream on it,,,,,,,,,,,,,,,,,
I work in food service industry ,,,,,,,,,,,,,,,,,,,
We usually just get a simple taco ,,,,,,,,,,,,,,,,,,,
not only did we have to wait over 10 minutes for our food,not a small burrito,The ground beef was definitely not up to temp when it was made into soft tacos,The chicken chalupas had pico de Gallo on them,The Mexican pizza had spilled all its ingredients in the box,,,,,,,,,,,,,,,
my son and his friends waited for 25 minutes to get their food ,,,,,,,,,,,,,,,,,,,
I just waited more than fifteen minutes for a bean and cheese burrito,It has rice ,and the wrong kind of cheese (nacho,,,,,,,,,,,,,,,,,
the manager who was already helping in the food line,,,,,,,,,,,,,,,,,,,
When I did get my burrito it was cold,,,,,,,,,,,,,,,,,,,
cold food,is one of the very few fast food joints where someone who doesn't eat meat can get a decent (yeah,,,,,,,,,,,,,,,,,,
This location the food is always hot,,,,,,,,,,,,,,,,,,,
I want to be able to count on tbell for food source ,So from a hungry customer who has to work a 12 hour over night shift with out food please resolve this issue,,,,,,,,,,,,,,,,,,
delicious ,,,,,,,,,,,,,,,,,,,
and still be waiting for my food,"They need to drop the ""fast"" and just call it ""food",,,,,,,,,,,,,,,,,,
but I must say their nacho fries need some work and they needed to be served with more cheese,,,,,,,,,,,,,,,,,,,
Well atleast they warn you their food will take 15-20,,,,,,,,,,,,,,,,,,,
there is a mexican food cart parked outside the valero on hamilton road all the time,In quite possibly the worst craving for a spicy taco I ever had,"This place takes ""taco hell"" to the next",,,,,,,,,,,,,,,,,
One time the fillings for a taco were on the outside of the taco,,,,,,,,,,,,,,,,,,,
you're going to get taco bell food,great customer service and great food every time,,,,,,,,,,,,,,,,,,
Not like I didn't warned her about the overprocessed meat that Taste weird ( maybe from grinding it too fined) to me I call it dog food,Her food were old,The workers can keep the food,I wondered if the workers were taking shit loads oof the food that was suppose,the grand taco probably had like 1 tbsp of ground beef from end to end,They will  serve you days old meat late,,,,,,,,,,,,,,
NEVER gets my food right ,,,,,,,,,,,,,,,,,,,
didn't place steak in my chalupa tacos,,,,,,,,,,,,,,,,,,,
NEVER gets my food right ,,,,,,,,,,,,,,,,,,,
You know the food so this is about the location,,,,,,,,,,,,,,,,,,,
And the food was good/order correct,and you can't beat the prices,,,,,,,,,,,,,,,,,,
But the food was good,,,,,,,,,,,,,,,,,,,
The food was hot, and delicious,,,,,,,,,,,,,,,,,,
They've figured out an ingenious system of calling your name when your food is ready,get ready for a little 'sticker shock' - they don't provide the best service and best food in town on the cheap,,,,,,,,,,,,,,,,,,
The staff here is very unprofessional the manager Marissa handled the situation very unprofessionally I will never be back here at this taco Bell I didn't get what I ordered the order didn't come out right,and nobody seemed to be confident enough to handle a minor situation I don't know how these people have a job here at taco Bell boo for taco Bell if I could leave zero Stars I woul,,,,,,,,,,,,,,,,,,
The last 3 visits I say no beans on my supreme ,and theres nasty gross disgusting beans,,,,,,,,,,,,,,,,,,
The Fu-kers never offered an apology and charged me for my food,,,,,,,,,,,,,,,,,,,
I'm not sure I can recall the last time I even had a taco here since there are so many,but I recently discovered the power menu bowl ,The chicken version is my bowl of choice ,,,,,,,,,,,,,,,,,
they are quite pricey,I saw they had the new cheese-stuffed,the cheese baked-in just isn't necessary,,,,,,,,,,,,,,,,,
The food is so much,,,,,,,,,,,,,,,,,,,
 Taco Bell should be compared to other fast-food outlets ,some tacos for our daughter,my hard-shell tacos were full,quality and quantity for the price was better than other,tasted great,,,,,,,,,,,,,,,
The worlds slowest taco,Update: they are awful they forgot 4 of our tacos,,,,,,,,,,,,,,,,,,
packed full of taco meat,which I added to the taco ,cheese,lettuce,,,,,,,,,,,,,,,,
soft taco ,Upon arriving home i noticed my chalupa had chicken on it not beef,I ordered a beef chalupa with no sour cream,I was told they had already remade my chalupa and I asked for my receipt and when I got home I noticed the bag had 2 chalupas not 1 and they both had sour cream ,,,,,,,,,,,,,,,,
I get home they only had cheese beef ,and tomato in it ( usually it has sour cream on the middle) ,one of them we're fine just wish it had sour cream ,but the other quite literally made me sick (the tortilla  had a strange taste ,,,,,,,,,,,,,,,,
How difficult is it to put cheese ,,,,,,,,,,,,,,,,,,,
I know there is better authentic food in the area,stale chips,meat from a caulking gun,,,,,,,,,,,,,,,,,
Ordered about $35 of food ,and we were told to wait around the corner for our food,After a few minutes a worker came out with our order and gave us what she said was all of our food,We got home and realized she had literally only given us half of our food,We called to have our order cancelled or to be reimbursed for our missing food,and offered no solution for their mess up except for us to drive all the way back to get our food,,,,,,,,,,,,,,
And I'm in shape but limit myself on this awful yet delicious food,Um yeah it makes my stomach hurt sometimes but I return because its delicious,,,,,,,,,,,,,,,,,,
has happened on multiple occasions and they even forget my food,,,,,,,,,,,,,,,,,,,
food tasted like Taco Bell,,,,,,,,,,,,,,,,,,,
you want tacos,Replace the meat with beans ,,,,,,,,,,,,,,,,,,
After arriving home with the food ,I just wanted some food I like before having to fast for 48 hours,I discovered that both of the VEGGIE bowls had steak in them,,,,,,,,,,,,,,,,,
which came with a soft taco ,the premium price dissuaded me,grilled chicken,refried beans,fresh salsa,and tasty chips,sufficient meat,and a tasty guacamole sauce on top,or grilled steak,It was the steak that was advertised,they come with both sour cream,,,,,,,,,
So I ordered the number 6 the meal with the 2 chalupas and 1 taco ,and the chalupas come with chicken so instead of the chicken I wanted the substitute the chicken for beef ,but of course they made my order wrong and didn't do the substitute so I was left with these chicken chalupas ,,,,,,,,,,,,,,,,,
They are so dang slow and the food was dry,,,,,,,,,,,,,,,,,,,
Lower your standards and it will taste great,,,,,,,,,,,,,,,,,,,
Oh hell no we came here and the worker Mia spit in our food ,and we seen it then she got an attitude when we said we want our money back she said no I didn't do shit to your food so we asked for her manager ,,,,,,,,,,,,,,,,,,
 We received only half of the food we paid for,and the food that we DID get was cold,and missing ingredients,,,,,,,,,,,,,,,,,
I was pretty Mad to find my rolled chicken tacos were cold,,,,,,,,,,,,,,,,,,,
Bonus- I always substitute beans for the meat,,,,,,,,,,,,,,,,,,,
And the syrup for the Baja Blast was out so it tasted like lesser than La Croix,,,,,,,,,,,,,,,,,,,
So now we are going to be late and we have no drinks to wash down our food,and I couldn't order one of the standard items because apparently they took pintos n cheese off the men,because I knew that filling pintos n cheese is fast,,,,,,,,,,,,,,,,,
I love going south of the boarder for their creative usage of a minimal lists of main ingredients ,"The manager stated she ""carefully proportions"" out the ingredients",a mostly flour tortilla with a smothering of some of those main ingredients I mentioned,,,,,,,,,,,,,,,,,
I came here one hour before they closed and they said they only had beef and beans,,,,,,,,,,,,,,,,,,,
the taco supreme I ordered was served to me with a broken,taco shell,It looks like they tried to fix it by putting it in a new taco shell,The taco was good,The manager of this location is quite stingy with taco sauces because they don't place them out so customers can get them - you have to ask the employees to h,although there was much more diced tomatoes and shredded lettuce than seasoned beef,I was hoping to be a unicorn ,,,,,,,,,,,,,
out of taco shells,out of beans,,,,,,,,,,,,,,,,,,
I asked no sour cream ,and right when I got my order I saw sour cream,,,,,,,,,,,,,,,,,,
ignoring us and the three other cars that were trying to get food,,,,,,,,,,,,,,,,,,,
I waited 15 minutes in the drive thru for my food (only 1 car ahead of me which left quickly,When I paid for my food,the first girl opens the window and gives me my food,I realized they gave me a burrito instead of the nachos I ordered,There was melted cheese on the outside of the bag,,,,,,,,,,,,,,,
But anytime I go I'm just super disappointed with their cheesy potato burrito,Meaning they taste old,,,,,,,,,,,,,,,,,,
They got my order right and the food was tasty,,,,,,,,,,,,,,,,,,,
got my order wrong and food was super,Unfortunately including the nacho fries were old and tasted like it had been sitting for days which was the only,,,,,,,,,,,,,,,,,,
was not supreme at all there was no sour cream in either of them and my burrito supreme had a huge,Soo Tonight I worked all day and my son wanted a taco snack ,) I ordered 2 crunchy tacos ,The crunchy taco order only had one,,,,,,,,,,,,,,,,
The food was the hottest I've ever gotten from a Taco Bell,perfectly crispy potatoes in the taco,,,,,,,,,,,,,,,,,,
My friend and I stopped at Taco Bell we ordered 6 items and while ordering our food the person working drive through wasn't listening well then ,When we finally got our food the nacho,they screw up a simple order or the food is cold,,,,,,,,,,,,,,,,,
 The kitchen was extremely dirty food ,Don't ever eat at this Taco Bell came here because I heard they were discontinuing the pizza ordered a # Mexican Pizza meal and a bean burrito add beef & extra, Then I looked at my bean burrito ,then when I received my meal there was barely any ingredients on the pice one slice had nothing on it except cheese ,and sauce on top the shells they were on tasted burnt ,,,,,,,,,,,,,,,
 The burrito was warmish,went directly home - the tacos were ice, The chrunchy taco was soggy from sitting around,,,,,,,,,,,,,,,,,
" This is Taco Bell's ""biggest food innovation of the year"" ",which came with 2 hard tacos ,This new chalupa is meant to satisfy your cheese desires ,,,,,,,,,,,,,,,,,
The food was cold,,,,,,,,,,,,,,,,,,,
 Decent food,Always good food, Taco Bell is always good about their tacos,,,,,,,,,,,,,,,,,
I had the Crunchwrap Combo with hard-shell taco ,my hard-shell tacos were not quite as full, Food quality and quantity for the price was very good,which apparently replaced their bowls,still tasted great,,,,,,,,,,,,,,,
doing their best to make delicious food for many,,,,,,,,,,,,,,,,,,,
 The food is exactly the same,,,,,,,,,,,,,,,,,,,
and the food orders were correct,,,,,,,,,,,,,,,,,,,
They gave me the fastest burrito ,,,,,,,,,,,,,,,,,,,
You never disappoint and always come through with the delicious food,,,,,,,,,,,,,,,,,,,
I ordered 8 tacos,what I got was 6 tacos ,Much better quality at Baseline,,,,,,,,,,,,,,,,,
the food spectacular ,we have a burrito too with just a little,three of ours tacos with just cheese, bit of cheese and full of beans, and lettuce,,,,,,,,,,,,,,,
Did we order a lot of tacos,,,,,,,,,,,,,,,,,,,
I can't give their imitation of a steak burrito,I ordered a steak burrito,a mixture of sour cream/rice/cheese,rice,and beans,There is a very clear description between ground beef and steak,real slices of steak,Instead I received a steak quesarito,cheese,It suppose to be sour cream optional,,,,,,,,,,
If I wasn't still hungry I'd find it absolutely hilarious but unfortunately my order was also missing an entire taco ,my Gordita crunch literally had less than a tablespoon of meat in it,And most all of that is in one small corner and there's NO meat in the middle,,,,,,,,,,,,,,,,,
I just got back from getting some food from Taco Bell,Then when I had them give me the rite food I had my sheesey,,,,,,,,,,,,,,,,,,
And then we had to wait even longer at the window because they didn't even start making our food yet,,,,,,,,,,,,,,,,,,,
I understand the foodservice industry, The foods always good,I've found at some locations their beans are dry,,,,,,,,,,,,,,,,,
Ordered online because of the free delivery promotion got a whole bunch of tacos ,,,,,,,,,,,,,,,,,,,
we all love it (for the most part) I don't need to tell you about their menu or their prices,,,,,,,,,,,,,,,,,,,
Tonight for example they forgot 4 tacos,,,,,,,,,,,,,,,,,,,
 The food was prepared horribly too, Must be a meat shortage because the tacos ,and other things only had a spot of meat,,,,,,,,,,,,,,,,,
it took 10 minutes for me to be served two tacos,,,,,,,,,,,,,,,,,,,
The worlds slowest taco,,,,,,,,,,,,,,,,,,,
) I ordered the Pineapple Freeze and a simple taco,and the taco was just what I needed,,,,,,,,,,,,,,,,,,
I ordered my food over the app ,It had no dairy or meat ,(Other locations I've been to would gob sour cream ,,,,,,,,,,,,,,,,,
The food is very good,,,,,,,,,,,,,,,,,,,
when we pulled up to pay she had her mouth full of food,I was almost afraid to eat my taco salad after that,,,,,,,,,,,,,,,,,,
is served sandwiched between two halves of a pan-fried flour burrito shell, The quesadilla is composed of deep-fried chicken nuggets, Both were packed full of meat,cheese,lettuce,,,,,,,,,,,,,,,
They kept taking orders from people but didn't even have the actual food in stock,,,,,,,,,,,,,,,,,,,
I waited in the drive thru for about 15 minutes for my black bean crunch wrap with chipotle sauce ,I said to the boy can you make sure they put the chipotle sauce ,In which I replied yes -- I ate through half of the overly filled with lettuce crunch wrap to find not one jalapeño and no chipotle sauce,and jalapeños only to drive away biting into a regular ground metal meat crunch wrap,,,,,,,,,,,,,,,,
Tonight is the first time in a long time that they didn't make an error on our food,My husband and I both ordered Taco Bell and got our food within 5 minutes,We got our food before before the couple before us did,no employees should've left until the restaurant until she got her food,When we left that drive thru had at least eight cars deep & two on the side waiting for their food,""" It's now 20 minutes later and she still doesn't have her chicken tenders - she got frustrated and started eating her husbands extra taco",Cmon how difficult is it to make tacos/chicken ,"His wife's chicken tenders were still ""cooking",,,,,,,,,,,,
but the food never disappoints,,,,,,,,,,,,,,,,,,,
I order a beef burrito supreme without bean, I get a bean burrito 1 out of 3 times,,,,,,,,,,,,,,,,,,
Went to this location and ordered chicken nachos,Took my order home and there was absolutely no chicken whatsoever on my order ,Seems like it would be very hard to forget to put chicken on an order of chicken nachos,and hardly any beans at all,,,,,,,,,,,,,,,,
This is the worst experience that I've ever had in general with any food industry,Taco Bell has great options for modifying their menu due to diet restrictions and food allergies,I ordered my food ,food allergies,If you have any type of food allergy,I ordered the triple layer nachos fresco style and a Mexican pizza fresco style as well with refried beans as a beef substitute,etc and that I need beans substituted for beef,I opened up the shell and after dissecting the pizza (see attached photos) to my horror I realized that mixed into the beans were r,Taco Bell's beans do not contain lard,I had my friend try a bite (who has no dietary restrictions) and he told me that it tasted like it had meat mixed,specifying that when I order fresco style I mean no nacho cheese,A few bites into the pizza I realized that something wasn't right and that it tasted,,,,,,,,
The gordita crunch was supposed to be no lettuce ,,,,,,,,,,,,,,,,,,,
So I order my food ,Sadly this wasn't the only problem it took us 30 minutes to get 6 tacos now I haven't worked at a fast,food restaurant but I think 30 minutes for plain 6 tacos shouldn't take that long,-chicken,-guacamole ,,,,,,,,,,,,,,,
I got a beefy supreme burrito,This taco is super,And there was no beef in it just sour cream ,They are more expensive than other Taco Bell's and let me say again the portions are super tiny you jut get a flour tortillas with extra sour cream,,,,,,,,,,,,,,,,
